id;exp_type;amt;date;jhi_desc;created_date;created_by;last_modified_date;last_modified_by
1;VOUCHER;65725;2020-09-05;copy niches Bacon;2020-09-05T15:19:40;Qatari Rial secured line;2020-09-05T21:31:06;index Producer
2;INVOICE;27727;2020-09-05;encryption Bedfordshire;2020-09-05T07:06:20;Handmade Plastic Chicken;2020-09-05T06:30:06;matrix architectures
3;INVOICE;95338;2020-09-05;synergize;2020-09-05T05:37:47;unleash Sausages;2020-09-05T09:46:47;Distributed Wyoming
4;INVOICE;29772;2020-09-05;Croatian Kuna Ergonomic;2020-09-06T01:22:23;transmit;2020-09-05T10:29:03;mint green Alabama
5;INVOICE;61122;2020-09-05;relationships;2020-09-05T03:01:22;Mills;2020-09-05T04:34:56;Checking Account
6;RECIEPT;67246;2020-09-05;hack COM Architect;2020-09-05T17:30:17;Credit Card Account;2020-09-05T11:27:37;evolve
7;RECIEPT;42753;2020-09-05;redundant HTTP;2020-09-05T16:16:52;deliverables Electronics Investment Account;2020-09-05T05:21:12;Lempira portal
8;INVOICE;81656;2020-09-05;Ergonomic;2020-09-05T23:05:28;Associate Guinea Franc Metical;2020-09-05T18:13:16;Configuration initiatives
9;RECIEPT;11290;2020-09-05;Ethiopian Birr COM;2020-09-06T01:52:12;synthesize;2020-09-05T11:40:25;Generic
10;RECIEPT;39658;2020-09-05;generate Georgia;2020-09-06T01:27:30;Producer;2020-09-05T15:06:26;Technician grid-enabled
