id;exp_type;start_date;end_date;report;report_content_type;created_date;created_by;last_modified_date;last_modified_by
1;RECIEPT;2020-09-06;2020-09-05;../fake-data/blob/hipster.png;image/png;2020-09-05T20:55:45;Fantastic Fresh Ball Reverse-engineered;2020-09-05T14:19:09;SQL parse
2;INVOICE;2020-09-05;2020-09-05;../fake-data/blob/hipster.png;image/png;2020-09-05T21:13:16;Small Concrete Hat copy Wooden;2020-09-05T03:27:34;auxiliary
3;RECIEPT;2020-09-05;2020-09-05;../fake-data/blob/hipster.png;image/png;2020-09-05T12:19:49;Avon Borders Qatari Rial;2020-09-05T18:15:52;Handcrafted Louisiana
4;INVOICE;2020-09-05;2020-09-05;../fake-data/blob/hipster.png;image/png;2020-09-06T01:15:56;Manager;2020-09-05T03:31:18;Cambridgeshire Program
5;INVOICE;2020-09-05;2020-09-05;../fake-data/blob/hipster.png;image/png;2020-09-05T21:39:21;ROI;2020-09-05T08:00:49;Future-proofed Lithuania Cambridgeshire
6;INVOICE;2020-09-05;2020-09-05;../fake-data/blob/hipster.png;image/png;2020-09-06T00:37:47;Principal Tennessee;2020-09-05T14:23:17;Buckinghamshire Oregon technologies
7;RECIEPT;2020-09-05;2020-09-06;../fake-data/blob/hipster.png;image/png;2020-09-05T14:49:22;Wells withdrawal Soft;2020-09-05T08:16:40;payment
8;RECIEPT;2020-09-05;2020-09-05;../fake-data/blob/hipster.png;image/png;2020-09-05T08:46:11;Greenland overriding channels;2020-09-05T18:24:32;Syrian Arab Republic back-end Fresh
9;INVOICE;2020-09-05;2020-09-05;../fake-data/blob/hipster.png;image/png;2020-09-05T15:46:46;Square;2020-09-05T11:36:43;Grocery payment intermediate
10;RECIEPT;2020-09-05;2020-09-05;../fake-data/blob/hipster.png;image/png;2020-09-05T22:00:43;compelling Palladium Ergonomic Cotton Car;2020-09-05T21:38:49;Bedfordshire Bermudian Dollar (customarily known as Bermuda Dollar) CSS
