id;pathi_name;jhi_desc;total_roul;total_amt;bhog_date;is_paid;created_date;created_by;last_modified_date;last_modified_by
1;context-sensitive New York lime;Metal;56050;82882;2020-09-05;true;2020-09-05T19:29:31;Dynamic;2020-09-05T23:07:58;Rustic
2;Orchestrator yellow;Future Refined Rubber Salad compressing;50240;36799;2020-09-05;true;2020-09-05T22:23:19;Sausages orchid Buckinghamshire;2020-09-05T11:15:02;navigate enable Montana
3;Computers Creative lime;UIC-Franc Practical Fresh Cheese Kroon;52049;59144;2020-09-05;true;2020-09-05T03:59:53;Beauty Product Clothing;2020-09-05T04:08:20;Movies
4;PCI Hat;Berkshire Accountability orchestration;61356;18109;2020-09-05;true;2020-09-05T07:27:58;Specialist;2020-09-05T13:37:18;Rustic driver Wyoming
5;leading-edge Delaware compress;navigating Investor Kwanza;71718;99106;2020-09-05;true;2020-09-05T06:20:36;Security;2020-09-05T15:36:21;Investment Account
6;virtual California;Games Executive Paradigm;18265;28555;2020-09-05;true;2020-09-05T16:52:32;haptic Yen;2020-09-05T16:34:39;syndicate
7;Paradigm;ivory;46018;81434;2020-09-05;false;2020-09-05T08:43:23;Developer;2020-09-05T09:29:48;Small Granite Pants bluetooth Chief
8;PNG;leading-edge;85570;48903;2020-09-05;false;2020-09-05T19:42:50;Metal violet hierarchy;2020-09-05T06:22:37;Organized Macedonia Springs
9;Forks;Gorgeous Frozen Keyboard Handmade redundant;41594;55611;2020-09-05;true;2020-09-05T13:50:26;parsing;2020-09-05T22:21:58;Toys
10;digital;interface Money Market Account maroon;95988;27246;2020-09-05;false;2020-09-05T13:42:30;Grocery Mouse;2020-09-05T03:36:57;Bermuda
